title,year,mxene_composition,composite_material,conductivity_value,unit,test_conditions
"Dual-modal flexible sensors based on flexible Ti3C2Tx (MXene)-bacterial cellulose composites for neural network-assisted pronunciations, shapes, and materials perception",2025,Ti3C2Tx,MXene-BC composites,353.77,S/m,
Synthesis and properties of 2D MXenes and their composite electrodes for supercapacitors,2024,Ti3C2Tx,"MXene Metal LDHs, MXene Metal sulfides, MXene Metal oxides, MXene Conductive polymers, MXene Carbon nanomaterials",353.77,S/m,not explicitly mentioned
"Multiscale porous structured MXene: Synthesis, design and applications in batteries and supercapacitors",2025,,,353.77,S/m,not explicitly mentioned
Advancements and approaches in developing MXene-based hybrid composites for improved supercapacitor electrodes,2024,Ti3C2Tx,"activated carbon (AC), graphene, carbon nanotubes (CNTs), transition metal oxides, conducting polymers (CPs), MOF",353.77,S/m,not explicitly mentioned
Exploring the potential of MXene-based aerogels and hybrid nanocomposites for supercapacitor applications,2024,,,353.77,S/m,not explicitly mentioned
Biomimetic and electrostatic self-assembled nanocellulose MXene films constructed with sequential bridging strategy for flexible supercapacitor,2024,Ti3C2Tx,CNFs MXene-Al (CM-Al),82.63,S/cm,Not explicitly mentioned
Binder-free Ti3C2Tx MXene electrode film for supercapacitor produced by electrophoretic deposition method,2017,Ti3C2Tx,,0.0,,not explicitly mentioned
The Rise of Ti3C2Tx MXene synthesis strategies over the decades: A review,2024,Ti3C2Tx,polymeric composites,353.77,S/m,not explicitly mentioned
NiCo2O4 MXene composite electrodes: Unveiling high-performance asymmetric supercapacitor capabilities through enhanced redox activity,2025,Ti3C2Tx,NiCo2O4 MXene composite (NCO MXene),0.0,N/A,DFT calculations demonstrated that the NCO MXene composite electrode possessed enhanced conductivity with metallic properties
BiOBr nanoparticle-modified Ti3C2Tx MXenes for photocatalytic degradation of organic arsenic in wastewater,2025,Ti3C2Tx,BiOBr Ti3C2,29.5,AQY,photocatalytic degradation of roxarsone
"MXenes from MAX phases: synthesis, hybridization, and advances in supercapacitor applications",2025,,"carbon-based materials, conducting polymers, metal oxides",353.77,S/m,not explicitly mentioned
Machine learning models for prediction of electrochemical properties in supercapacitor electrodes using MXene and graphene nanoplatelets,2024,Ti3C2Tx,MXene Graphene Nanoplatelets (GNPs),0.0,S/m,Not explicitly mentioned
Synthesis and electrochemical performance of 2D molybdenum carbide (MXene) for supercapacitor applications,2025,Mo2C,,0.0,S/m,excellent electronic conductivity
Sandwich-type macroporous Ti3C2Tx MXene frameworks for supercapacitor electrode,2022,Ti3C2Tx,,353.77,S/m,not explicitly mentioned
Construction of proton channels in POMCPs MXene electrodes for flexible all-solid-state symmetrical supercapacitors,2025,Ti3C2Tx,POMCPs Ti3C2Tx composite film,0.16,S/cm,at 70 C
Revealing the ionic storage mechanisms of Mo2VC2Tz (MXene) in multiple aqueous electrolytes for high-performance supercapacitors,2025,Mo2VC2Tz,,258.4,S/cm,
