title,authors,year,journal,mxene_composition,application_type,metric,value,unit,notes
"Dual-modal flexible sensors based on flexible Ti3C2Tx (MXene)-bacterial cellulose composites for neural network-assisted pronunciations, shapes, and materials perception","Yihan Qiu, Bingzheng Zhang, Nuozhou Yi, Zhen Wang, Minghua You, Peidi Zhou, Chan Zheng, Qiaohang Guo, Kaihuai Yang, Mingcen Weng",2025,Journal of Alloys and Compounds,Ti3C2Tx,sensors,response_time,10.0,ms,pressure sensors have fast response recovery times
"Dual-modal flexible sensors based on flexible Ti3C2Tx (MXene)-bacterial cellulose composites for neural network-assisted pronunciations, shapes, and materials perception","Yihan Qiu, Bingzheng Zhang, Nuozhou Yi, Zhen Wang, Minghua You, Peidi Zhou, Chan Zheng, Qiaohang Guo, Kaihuai Yang, Mingcen Weng",2025,Journal of Alloys and Compounds,Ti3C2Tx,sensors,detection_threshold,1.0,Pa,pressure sensors have low detection thresholds
"Dual-modal flexible sensors based on flexible Ti3C2Tx (MXene)-bacterial cellulose composites for neural network-assisted pronunciations, shapes, and materials perception","Yihan Qiu, Bingzheng Zhang, Nuozhou Yi, Zhen Wang, Minghua You, Peidi Zhou, Chan Zheng, Qiaohang Guo, Kaihuai Yang, Mingcen Weng",2025,Journal of Alloys and Compounds,Ti3C2Tx,sensors,sensitivity,5.11,kPa-1,pressure mode has high sensitivity
"Dual-modal flexible sensors based on flexible Ti3C2Tx (MXene)-bacterial cellulose composites for neural network-assisted pronunciations, shapes, and materials perception","Yihan Qiu, Bingzheng Zhang, Nuozhou Yi, Zhen Wang, Minghua You, Peidi Zhou, Chan Zheng, Qiaohang Guo, Kaihuai Yang, Mingcen Weng",2025,Journal of Alloys and Compounds,Ti3C2Tx,sensors,accuracy,98.33,%,speech recognition accuracy with MLP neural network
"Dual-modal flexible sensors based on flexible Ti3C2Tx (MXene)-bacterial cellulose composites for neural network-assisted pronunciations, shapes, and materials perception","Yihan Qiu, Bingzheng Zhang, Nuozhou Yi, Zhen Wang, Minghua You, Peidi Zhou, Chan Zheng, Qiaohang Guo, Kaihuai Yang, Mingcen Weng",2025,Journal of Alloys and Compounds,Ti3C2Tx,sensors,sensitivity,0.63,mm-1,proximity sensor has sensitivity
"Dual-modal flexible sensors based on flexible Ti3C2Tx (MXene)-bacterial cellulose composites for neural network-assisted pronunciations, shapes, and materials perception","Yihan Qiu, Bingzheng Zhang, Nuozhou Yi, Zhen Wang, Minghua You, Peidi Zhou, Chan Zheng, Qiaohang Guo, Kaihuai Yang, Mingcen Weng",2025,Journal of Alloys and Compounds,Ti3C2Tx,sensors,accuracy,99.85,%,material recognition accuracy with MLP neural network
Construction of novel bifunctional electrocatalyst CuCoTiO2 Mxene for supercapacitor and sensor application,"Ganesh Abinaya Meenakshi, Mahalingam Agalya, Rajendran Surya, Subramanian Sakthinathan, Shanmugam Kiruthika, Te-Wei Chiu, Sandhya Sukumaran",2025,Ceramics International,CuCoTiO2,sensors,Sensitivity,2.66,μA/μM/cm²,For furazolidone detection
Construction of novel bifunctional electrocatalyst CuCoTiO2 Mxene for supercapacitor and sensor application,"Ganesh Abinaya Meenakshi, Mahalingam Agalya, Rajendran Surya, Subramanian Sakthinathan, Shanmugam Kiruthika, Te-Wei Chiu, Sandhya Sukumaran",2025,Ceramics International,CuCoTiO2,sensors,Detection_Limit,16.1,nM,For furazolidone detection
The Rise of Ti3C2Tx MXene synthesis strategies over the decades: A review,"Mohammed Askkar Deen, Harish Kumar Rajendran, Ragavan Chandrasekar, Debanjana Ghosh, Selvaraju Narayanasamy",2024,FlatChem,Ti3C2Tx,sensors,sensitivity,10.0,mV/kPa,not explicitly mentioned in the text
A capacitance-enhanced MXene anode for high-performance and dual-functional quasi-solid-state ammonium ion hybrid supercapacitor,"Qiang Wang, Shenshen Guan, Ranyun Wu, Liangliang Su, Yalong Yang, Xulai Zhu, Yuxia Hu, Junpeng Zhang, Jia Si, Wei Zeng",2025,Journal of Alloys and Compounds,,sensors,response_time,210.0,ms,pressure sensor for monitoring external pressure changes and human limb movements
A capacitance-enhanced MXene anode for high-performance and dual-functional quasi-solid-state ammonium ion hybrid supercapacitor,"Qiang Wang, Shenshen Guan, Ranyun Wu, Liangliang Su, Yalong Yang, Xulai Zhu, Yuxia Hu, Junpeng Zhang, Jia Si, Wei Zeng",2025,Journal of Alloys and Compounds,,sensors,pressure_monitoring_interval,1.0,N,pressure sensor for monitoring external pressure changes and human limb movements
